name,city,address,notes,lat,lon,rating,rating_count,price_level,types,phone,website,google_maps_url,place_id,last_update,rating_online_gf,rating_online_gf_count
Parco Dei Ciliegi,Zola Predosa,"Via Gessi, 2, 40069 Zola Predosa BO, Italia","[voto 4] Locale luminoso con ampio spazio all'aperto. Buona accoglienza e personale giovane e cordiale. Tagliatelle al ragù senza glutine e tortelloni di ricotta burro e salvia, entrambi buoni. A seguire grigliata di carne senza glutine e cotoletta alla bolognese, piatti che ci hanno soddisfatto. Conclusione con due creme al caffè. Prezzi nella norma. Consigliato","44,4734297","11,2127494","4,3",5315,2,establishment|food|point_of_interest|restaurant,051 750412,https://www.parcodeiciliegi.it/,https://maps.google.com/?cid=5202042870725893421,ChIJX0DsTrLXf0cRLV34521eMUg,24/11/2025 23.59.29,"4,00",1
"C’è Pizza per Te Zola Predosa , da Piero e Daniela (forno a legna)",Zola Predosa,"Via Risorgimento, 432/8c, 40069 Zola Predosa BO, Italia","[voto 5] Per me ""c'è pizza per te"" è un'esperienza. Lì non ho solo mangiato la solita pizza, ho trovato l'antica professionalità e cortesia che desideravo. Le pizze sono ricche assortite secondo le esigenze, sono riusciti ad accontentare e far provare il piacere del gusto anche a me che sono un'intollerante al lattosio ed a un'amica celiaca. La pizza è l'alimento semplice della tradizione italiana che se p… | [voto 5] È la nostra pizzeria preferita da quasi 5 anni! L’abbiamo scoperta tramite il passaparola e per me che mangio senza glutine è una vera manna dal cielo! Possono farti qualunque pizza tra quelle proposte con l’impasto senza glutine 😍 Ormai siamo di casa, quando arriviamo troviamo sempre un tavolo disponibile e Daniela che ci serve con un super sorriso. La pizza ci piace perché troviamo che ci siano…","44,5023322","11,1880407","4,6",449,1,bar|establishment|food|meal_delivery|meal_takeaway|point_of_interest|restaurant,051 756905,https://www.leggimenu.it/menu/ce-pizza-per-te-da-piero-e-daniela-zola-predosa-2009,https://maps.google.com/?cid=7256656774833364925,ChIJo-xSu2bXf0cRvd_fqOPStGQ,24/11/2025 23.59.29,"5,00",2
L'Altro Carlo Rè Dal Gianlu,Zevio,"Via Tiro a Segno, 36, 37059 Zevio VR, Italia","[voto 5] SENZA GLUTINE Molto buono e molto economico! Ho preso la sporcacciona, patatine fritte (sono tante!), e tiramisù (uno dei migliori mai provati), e birra senza glutine. Posto conviviale, personale giovane, MOLTO CONSIGLIATO","45,3727283","11,1223128","4,2",661,1,establishment|food|point_of_interest|restaurant,045 605 0621,,https://maps.google.com/?cid=10352019569071710008,ChIJJwjGBkNdf0cROF9pYvPCqY8,25/11/2025 0.15.38,"5,00",1
La Voglia Matta - Pizzeria Scrocchiarella Gourmet,Zanica,"Piazza Repubblica, 14/16, 24050 Zanica BG, Italia","[voto 5] Sicuramente una delle migliori pizze senza glutine di tutta la Lombardia. Davvero buonissima, impasto leggero e ampia scelta nel menù! Personale molto cortese, disponibile terrazzo esterno lontano dalla strada principale! | [voto 5] Pizza veramente ottima, anche SENZA GLUTINE! Super consigliato anche per consumo sul posto senza le pretese di un ristorante! Tutti accoglienti e gentili, ci ritorno sempre volentieri. Bravi! | [voto 5] Pizza senza glutine buonissima,ma vogliamo parlare della scrocchiarella 😜 favolosa","45,6405224","9,6841348","4,5",205,,establishment|food|meal_takeaway|point_of_interest|restaurant|store,035 672058,https://pizzerialavogliamatta.it/,https://maps.google.com/?cid=11943927236980785549,ChIJ6bP4YWVPgUcRjUFaV4pawaU,25/11/2025 0.29.38,"5,00",3
Cosmopolitan Fusion Mexican Grill,Volla,"Via Raffaello Sanzio, 27, 80040 Volla NA, Italia","[voto 5] Stasera siamo stati al Cosmopolitan a cena: ero con la mia fidanzata, che è celiaca, e con mia madre. L’esperienza è stata davvero splendida sotto ogni punto di vista. Sono organizzati benissimo per il senza glutine e ogni piatto che abbiamo assaggiato era buonissimo: ricco di gusto, curato nei dettagli e servito con grande attenzione. Sicuramente ci torneremo.Un altro aspetto che ci ha colpito è … | [voto 4] Abbiamo cenato di sera qui con la formula all you can eat di sushi ( perché c'è anche un menù di carne) premetto che abbiamo ordinato solo cose senza glutine per il mio compagno che è celiaco, abbiamo preso quasi tutto quello che era disponibile , il burritos senza glutine, fagioli alla messicana, tortiglias cn la salsa, del sushi (che in verità e qll che me piaciuto di meno) e tante altre sfizzio…","40,8738073","14,3444444","3,9",2545,2,bar|establishment|food|point_of_interest|restaurant,081 773 2757,https://www.kifood.it/cosmopolitan-fusion-mexican-grill/link?fbclid=PAQ0xDSwMG90JleHRuA2FlbQIxMQABp2LobvEr3jnIS1j0pnY6ETxOQMxdkgS6NzzXdeRqTIevWWEeN5h1lu1KA3r7_aem_W9aF2JRX9a2_FmKrzsvyRQ,https://maps.google.com/?cid=12149823236707659753,ChIJO40A2JGoOxMR6S-_e9zXnKg,"45986,01469","4,50",2
Peppe A' Quaglia,Volla,"Via Dante Alighieri, 35, 80040 Volla NA, Italia","[voto 2] Ordino tramite glovo 3 pizze di cui, una montanara doppia cottura senza glutine e un arancino. Massima delusione per la montanara senza glutine che non somiglia per nulla a quella mostrata in foto su glovo. Pizza, tra l'altro che, nella sezione senza glutine, è presente in un'unica versione con ragù, formaggio e pepe. Ebbene, ciò che mi arriva a casa è tutt'altro che quanto descritto: una margheri…","40,8763327","14,3443021",4,404,1,establishment|food|meal_takeaway|point_of_interest|restaurant,081 1838 8224,http://peppeaquaglia.it/,https://maps.google.com/?cid=2286986549670569973,ChIJCwlcCZKoOxMR9ec1YyYCvR8,"45986,01469","2,00",1
La Fraschetta Di Jack o Mela Stregata,Vitorchiano,"Via Borgo Cavour, 23, 01030 Vitorchiano VT, Italia","[voto 5] Locale non molto grande, fuori dalla cinta muraria di Vitorchiano ma a due passi dalla piazza degli autobus. Mi sono fermata a pranzo avendo letto delle buone raccomandazioni per le opzioni gluten free: ho mangiato degli ottimi gnocchi con il sugo alla vitorchianese (con il finocchietto) accompagnati da un buon pane senza glutine (scarpetta d’obbligo). Ottimo anche il semifreddo al torroncino. Mol…","42,4677433","12,1729823","4,5",1107,1,establishment|food|point_of_interest|restaurant,0761 373077,https://ibist.net/la-fraschetta-della-mela-stregata-7633116-it,https://maps.google.com/?cid=13855319085292833305,ChIJy3ZtkWcpLxMRGcqRqEz7R8A,10/12/2025 23.09.29,"5,00",1
Il Lattughino Insalateria,Viterbo,"Via Luigi Galvani, 16, 01100 Viterbo VT, Italia","[voto 5] Locale simpatico e innovativo. È possibile scegliere tra piatti pronti o comporre i propri. Si può mangiare con o senza glutine e lattosio... Caratteristica rilevante per la mia famiglia! Ottimo per pasti veloci in compagnia. Con la mia famiglia abbiamo composto 4 diversi primi poi abbiamo aggiunto 4 dolci, due caffè e acqua e abbiamo pagato 57 euro. Si può tornare 😊 | [voto 5] Consigliatissimo. Non solo fame ma proprio uno stile di vita! Locale accogliente pulito vastissima scelta di insalate ma anche di primi con pasta o riso, frutta, yogurt, contorni etc. pane fantastico ed ingredienti bio e gluten free. Componi la scheda che viene fornita all'ingresso con gli alimenti che desideri mangiare a dopo pochi minuti il piatto è pronto. Tutto fresco e saporito. Bagni pulitis…","42,4258802","12,092618","4,4",307,1,establishment|food|point_of_interest|restaurant,324 846 7772,https://m.facebook.com/illattughino.loriginale/?locale2=it_IT,https://maps.google.com/?cid=14722788053728276599,ChIJK0z1GN0sLxMRd7DW7brZUcw,10/12/2025 23.09.29,"5,00",2
Pasticceria Casantini,Viterbo,"Via Cairoli, 27, 01100 Viterbo VT, Italia","[voto 5] Ho ordinato una torta senza glutine per la laurea di mia figlia a Viterbo e vivendo in Abruzzo ho fatto tutto tramite telefono. Mi sono affidata a loro in tutto e per tutto e non potevo fare scelta migliore!!! Personale gentilissimo tutto e splendida la sig.ra Michela con la quale ho preso accordi e che mi ha accontentata con grande impegno e pazienza. Torta sublime, squisita, Chantilly e fragole.…","42,4196014","12,1043161","4,5",431,2,bakery|bar|establishment|food|point_of_interest|restaurant|store,0761 307039,https://pasticceriacasantini.it/,https://maps.google.com/?cid=17923161753305321835,ChIJOz5yE-MsLxMRa5GhVafcu_g,10/12/2025 23.09.29,"5,00",1
La Bottega del Fornaio,Viterbo,"Via del Carmine, 01100 Viterbo VT, Italia","[voto 4] Buono per pranzare e cibo da asporto. Gentilezza e pulizia. Purtroppo nessun tipo di cibo per gluten free se non verdura cotta o affettati, ma tenete conto della volatilità di farine normale per un posto del genere.","42,411486","12,1027181","4,2",207,2,bakery|establishment|food|point_of_interest|restaurant|store,0761 769881,,https://maps.google.com/?cid=399175161083877397,ChIJT2OzeBwtLxMRFViQr7EnigU,10/12/2025 23.09.29,"4,00",1
